config	fork	openmp	posix
500x1	340191	73109.3	339791
500x2	174012	38701.2	173509
500x4	90116.5	20200.5	89286.6
500x8	48601	13730.8	45880.1
500x16	35883.9	12548	31771.6
1000x1	2.71473e+06	558444	2.71701e+06
1000x2	1.37952e+06	286036	1.37521e+06
1000x4	721326	152835	715809
1000x8	382485	82739	377432
1000x16	258734	93608.8	237560
2000x1	2.42609e+07	7.02638e+06	2.43152e+07
2000x2	1.28335e+07	4.0601e+06	1.28215e+07
2000x4	6.64863e+06	2.17394e+06	6.62017e+06
2000x8	3.63753e+06	1.22611e+06	3.622e+06
2000x16	2.03436e+06	947484	2.03618e+06
